time;PV3;PV7;WP4;WP7;BM1;BM2;BM3;Hydro2;lv_rural1;lv_rural2;lv_rural3;lv_semiurb4
01.01.2016 00:00;0;0;0.980906;0.991261;0.702308;0.661961;0.612549;0.284667;0;0;0;0
01.01.2016 00:15;0;0;0.983083;0.991023;0.702483;0.662174;0.609645;0.375918;0;0;0;0
01.01.2016 00:30;0;0;0.985261;0.990784;0.702659;0.662388;0.606742;0.381791;0;0;0;0
01.01.2016 00:45;0;0;0.987438;0.990546;0.702834;0.662601;0.603838;0.375184;0;0;0;0
01.01.2016 01:00;0;0;0.989616;0.990307;0.703009;0.662815;0.600935;0.37812;0;0;0;0
01.01.2016 01:15;0;0;0.990115;0.989069;0.701129;0.660356;0.598903;0.37812;0;0;0;0
01.01.2016 01:30;0;0;0.990615;0.987832;0.699248;0.657898;0.596872;0.454479;0;0;0;0
01.01.2016 01:45;0;0;0.991115;0.986594;0.697367;0.65544;0.59484;0.494126;0;0;0;0
01.01.2016 02:00;0;0;0.991615;0.985356;0.695486;0.652981;0.592809;0.509545;0;0;0;0
01.01.2016 02:15;0;0;0.991696;0.986617;0.691872;0.652506;0.590441;0.50514;0;0;0;0
01.01.2016 02:30;0;0;0.991777;0.987879;0.688258;0.65203;0.588073;0.499266;0;0;0;0
01.01.2016 02:45;0;0;0.991858;0.98914;0.684644;0.651555;0.585705;0.477974;0;0;0;0
01.01.2016 03:00;0;0;0.991939;0.990401;0.68103;0.651079;0.583338;0.374449;0;0;0;0
01.01.2016 03:15;0;0;0.991727;0.989879;0.678364;0.646981;0.580418;0.364905;0;0;0;0
01.01.2016 03:30;0;0;0.991516;0.989357;0.675698;0.642883;0.577498;0.377386;0;0;0;0
01.01.2016 03:45;0;0;0.991304;0.988835;0.673031;0.638785;0.574578;0.375184;0;0;0;0
01.01.2016 04:00;0;0;0.991093;0.988313;0.670365;0.634687;0.571658;0.38326;0;0;0;0
01.01.2016 04:15;0;0;0.990483;0.988864;0.667878;0.631997;0.570193;0.373715;0;0;0;0
01.01.2016 04:30;0;0;0.989874;0.989416;0.665392;0.629306;0.568728;0.375918;0;0;0;0
01.01.2016 04:45;0;0;0.989265;0.989967;0.662905;0.626616;0.567264;0.376652;0;0;0;0
01.01.2016 05:00;0;0;0.988655;0.990518;0.660418;0.623926;0.565799;0.375184;0;0;0;0
01.01.2016 05:15;0;0;0.989279;0.988799;0.659707;0.616072;0.564289;0.370778;0;0;0;0
01.01.2016 05:30;0;0;0.989902;0.987079;0.658995;0.608218;0.562779;0.30837;0;0;0;0
01.01.2016 05:45;0;0;0.990525;0.98536;0.658283;0.600364;0.561269;0.228341;0;0;0;0
01.01.2016 06:00;0;0;0.991149;0.98364;0.657571;0.59251;0.559759;0.295888;0;0;0;0
01.01.2016 06:15;0;0;0.990621;0.985304;0.654598;0.584306;0.556717;0.248899;0;0;0;0
01.01.2016 06:30;0;0;0.990093;0.986968;0.651625;0.576101;0.553674;0.162996;0;0;0;0
01.01.2016 06:45;0;0;0.989565;0.988632;0.648651;0.567896;0.550632;0.187959;0;0;0;0
01.01.2016 07:00;0;0;0.989037;0.990296;0.645678;0.559691;0.54759;0.228341;0;0;0;0
01.01.2016 07:15;0;0;0.989251;0.9904;0.642949;0.561863;0.552156;0.315712;0;0;0;0
01.01.2016 07:30;0;0;0.989465;0.990504;0.64022;0.564035;0.556722;0.309104;0;0;0;0
01.01.2016 07:45;0;0;0.989679;0.990608;0.637491;0.566208;0.561287;0.242291;0;0;0;0
01.01.2016 08:00;0;0;0.989893;0.990712;0.634762;0.56838;0.565853;0.228341;0;0;0;0
01.01.2016 08:15;0;0;0.989517;0.987967;0.633681;0.57474;0.570698;0.229075;0;0;0;0
01.01.2016 08:30;0;0;0.989141;0.985221;0.632601;0.5811;0.575543;0.225404;0;0;0;0
01.01.2016 08:45;0;0;0.988765;0.982475;0.63152;0.587461;0.580387;0.237151;0;0;0;0
01.01.2016 09:00;0;0;0.988389;0.979729;0.630439;0.593821;0.585232;0.226872;0;0;0;0
01.01.2016 09:15;0;0;0.988615;0.98251;0.634473;0.599005;0.589004;0.254038;0;0;0;0
01.01.2016 09:30;0;0;0.988842;0.985292;0.638506;0.60419;0.592777;0.284141;0;0;0;0
01.01.2016 09:45;0;0;0.989069;0.988073;0.642539;0.609374;0.59655;0.228341;0;0;0;0
01.01.2016 10:00;0;0;0.989295;0.990855;0.646573;0.614558;0.600322;0.214391;0;0;0;0
01.01.2016 10:15;0;0;0.987399;0.988874;0.646325;0.615013;0.601891;0.220264;0;0;0;0
01.01.2016 10:30;0;0;0.985503;0.986894;0.646078;0.615469;0.60346;0.234949;0;0;0;0
01.01.2016 10:45;0;0;0.983607;0.984914;0.64583;0.615924;0.605029;0.231278;0;0;0;0
01.01.2016 11:00;0;0;0.98171;0.982933;0.645583;0.616379;0.606597;0.216593;0;0;0;0
01.01.2016 11:15;0;0;0.969228;0.960135;0.646883;0.616041;0.607038;0.203377;0;0;0;0
01.01.2016 11:30;0;0;0.956745;0.937336;0.648183;0.615702;0.607479;0.278267;0;0;0;0
01.01.2016 11:45;0;0;0.944262;0.914537;0.649483;0.615364;0.60792;0.259912;0;0;0;0
01.01.2016 12:00;0;0;0.93178;0.891739;0.650783;0.615025;0.60836;0.229809;0;0;0;0
01.01.2016 12:15;0;0;0.909058;0.883453;0.652493;0.615194;0.611613;0.323789;0;0;0;0
01.01.2016 12:30;0;0;0.886337;0.875167;0.654203;0.615362;0.614865;0.332599;0;0;0;0
01.01.2016 12:45;0;0;0.863616;0.866882;0.655913;0.61553;0.618117;0.263583;0;0;0;0
01.01.2016 13:00;0;0;0.840894;0.858596;0.657623;0.615698;0.62137;0.406755;0;0;0;0
01.01.2016 13:15;0;0;0.820098;0.837825;0.655334;0.614241;0.620677;0.410426;0;0;0;0
01.01.2016 13:30;0;0;0.799302;0.817054;0.653045;0.612785;0.619984;0.379589;0;0;0;0
01.01.2016 13:45;0;0;0.778506;0.796283;0.650756;0.611328;0.619291;0.295888;0;0;0;0
01.01.2016 14:00;0;0;0.75771;0.775513;0.648467;0.609871;0.618598;0.268722;0;0;0;0
01.01.2016 14:15;0;0;0.744722;0.761001;0.650573;0.61114;0.618662;0.329662;0;0;0;0
01.01.2016 14:30;0;0;0.731734;0.746489;0.652678;0.612408;0.618725;0.328194;0;0;0;0
01.01.2016 14:45;0;0;0.718746;0.731978;0.654784;0.613676;0.618789;0.331865;0;0;0;0
01.01.2016 15:00;0;0;0.705758;0.717466;0.656889;0.614945;0.618853;0.324523;0;0;0;0
01.01.2016 15:15;0;0;0.679403;0.703253;0.655518;0.615145;0.621936;0.28928;0;0;0;0
01.01.2016 15:30;0;0;0.653049;0.68904;0.654147;0.615346;0.625019;0.220999;0;0;0;0
01.01.2016 15:45;0;0;0.626694;0.674826;0.652776;0.615546;0.628102;0.185756;0;0;0;0
01.01.2016 16:00;0;0;0.60034;0.660613;0.651405;0.615747;0.631185;0.145374;0;0;0;0
01.01.2016 16:15;0;0;0.580986;0.63955;0.648935;0.614196;0.635254;0.200441;0;0;0;0
01.01.2016 16:30;0;0;0.561632;0.618486;0.646465;0.612646;0.639322;0.271659;0;0;0;0
01.01.2016 16:45;0;0;0.542279;0.597423;0.643996;0.611095;0.64339;0.281204;0;0;0;0
01.01.2016 17:00;0;0;0.522925;0.57636;0.641526;0.609544;0.647458;0.279736;0;0;0;0
01.01.2016 17:15;0;0;0.50065;0.576681;0.642223;0.608578;0.648404;0.155653;0;0;0;0
01.01.2016 17:30;0;0;0.478376;0.577001;0.642919;0.607611;0.64935;0.160059;0;0;0;0
01.01.2016 17:45;0;0;0.456102;0.577322;0.643616;0.606645;0.650296;0.179148;0;0;0;0
01.01.2016 18:00;0;0;0.433827;0.577643;0.644313;0.605678;0.651242;0.165198;0;0;0;0
01.01.2016 18:15;0;0;0.424413;0.569047;0.645429;0.606824;0.650783;0.154919;0;0;0;0
01.01.2016 18:30;0;0;0.414998;0.560451;0.646545;0.607969;0.650324;0.160059;0;0;0;0
01.01.2016 18:45;0;0;0.405584;0.551855;0.64766;0.609115;0.649866;0.150514;0;0;0;0
01.01.2016 19:00;0;0;0.396169;0.543259;0.648776;0.61026;0.649407;0.157122;0;0;0;0
01.01.2016 19:15;0;0;0.376761;0.539072;0.645384;0.608951;0.644083;0.157122;0;0;0;0
01.01.2016 19:30;0;0;0.357353;0.534884;0.641991;0.607642;0.63876;0.151982;0;0;0;0
01.01.2016 19:45;0;0;0.337945;0.530696;0.638598;0.606332;0.633436;0.151982;0;0;0;0
01.01.2016 20:00;0;0;0.318537;0.526508;0.635205;0.605023;0.628113;0.16373;0;0;0;0
01.01.2016 20:15;0;0;0.325452;0.492577;0.634361;0.604951;0.624533;0.160059;0;0;0;0
01.01.2016 20:30;0;0;0.332367;0.458646;0.633516;0.604879;0.620953;0.162261;0;0;0;0
01.01.2016 20:45;0;0;0.339282;0.424715;0.632672;0.604806;0.617373;0.165932;0;0;0;0
01.01.2016 21:00;0;0;0.346198;0.390784;0.631827;0.604734;0.613793;0.156388;0;0;0;0
01.01.2016 21:15;0;0;0.339211;0.375005;0.633729;0.610486;0.619386;0.260646;0;0;0;0
01.01.2016 21:30;0;0;0.332225;0.359226;0.63563;0.616237;0.62498;0.378855;0;0;0;0
01.01.2016 21:45;0;0;0.325238;0.343447;0.637532;0.621989;0.630573;0.376652;0;0;0;0
01.01.2016 22:00;0;0;0.318251;0.327668;0.639434;0.627741;0.636166;0.209985;0;0;0;0
01.01.2016 22:15;0;0;0.317703;0.332484;0.636533;0.635309;0.636721;0.160059;0;0;0;0
01.01.2016 22:30;0;0;0.317154;0.3373;0.633632;0.642877;0.637275;0.168135;0;0;0;0
01.01.2016 22:45;0;0;0.316606;0.342116;0.63073;0.650445;0.637829;0.18649;0;0;0;0
01.01.2016 23:00;0;0;0.316057;0.346932;0.627829;0.658013;0.638383;0.368576;0;0;0;0
01.01.2016 23:15;0;0;0.311289;0.35094;0.631601;0.668916;0.64323;0.489721;0;0;0;0
01.01.2016 23:30;0;0;0.30652;0.354947;0.635372;0.679818;0.648076;0.493392;0;0;0;0
01.01.2016 23:45;0;0;0.301751;0.358955;0.639144;0.690721;0.652923;0.421439;0;0;0;0
02.01.2016 00:00;0;0;0.296983;0.362962;0.642915;0.701624;0.65777;0.375918;0;0;0;0
02.01.2016 00:15;0;0;0.299156;0.367662;0.644032;0.706142;0.659493;0.373715;0;0;0;0
02.01.2016 00:30;0;0;0.301328;0.372363;0.645148;0.71066;0.661216;0.376652;0;0;0;0
02.01.2016 00:45;0;0;0.303501;0.377063;0.646264;0.715178;0.662939;0.373715;0;0;0;0
02.01.2016 01:00;0;0;0.305674;0.381763;0.647381;0.719696;0.664662;0.593979;0;0;0;0
